Product Name,URL,Category,Price,Description
Triumph Bonneville T120,https://example.com/triumph-bonneville,Motorcycles,12999,Classic British motorcycle with modern performance
Harley-Davidson Sportster,https://example.com/harley-sportster,Motorcycles,9999,Iconic American cruiser motorcycle
Ducati Monster 821,https://example.com/ducati-monster,Motorcycles,11999,Italian naked sportbike with aggressive styling
Yamaha MT-07,https://example.com/yamaha-mt07,Motorcycles,7599,Versatile middleweight naked bike
Kawasaki Ninja 650,https://example.com/kawasaki-ninja650,Motorcycles,7899,Sport-touring motorcycle with comfortable ergonomics
BMW R 1250 GS,https://example.com/bmw-r1250gs,Motorcycles,17999,Adventure touring motorcycle with boxer engine
Indian Scout,https://example.com/indian-scout,Motorcycles,10999,American cruiser with modern technology
Honda CB650R,https://example.com/honda-cb650r,Motorcycles,8999,Neo-sports café motorcycle
Aprilia Tuono 660,https://example.com/aprilia-tuono660,Motorcycles,10999,Italian sport naked motorcycle
Moto Guzzi V7,https://example.com/motoguzzi-v7,Motorcycles,8999,Classic Italian motorcycle with character

